REGION,SUBREGION,country,LOCATION,lat,lon,MONTH,year,DEPTH,bleaching_severity,percentage_affected,id
Africa,Eastern Africa,Tanzania,"Site 3, BAWE, Zanzibar",-6.1483,39.1302,5,2010,2 m,Medium,21%,33
Africa,Eastern Africa,Tanzania,"Site 3, CHUMBE, Zanzibar",-6.2786,39.1782,5,2010,8 m,Low,12%,34
Africa,Eastern Africa,Tanzania,"Site 4, BAWE, Zanzibar",-6.1484,39.1301,5,2010,2 m,Medium,16%,35
Africa,Eastern Africa,Tanzania,Tutia Island,-8.116666667,39.7,4,1998,,HIGH,88%,36
Africa,Southwest Indian Ocean,Comoros,Mayotte Island,-12.83333333,45.21666667,5,1983,12,HIGH,38%,37
Africa,Southwest Indian Ocean,Madagascar,Madagascar,-19,46.56,3,1998,,Medium,30%,38
Africa,Southwest Indian Ocean,Mauritius,Balaclava ( Arsenal Bay / Baie de L'Arsenal ),-20.1,57.5,,1998,,Low,39%,39
Africa,Southwest Indian Ocean,Mauritius,Mauritius,-20.13333333,57.46666667,,1998,,Low,8%,40
Africa,Southwest Indian Ocean,Mauritius,Rodrigues (Republic of Mauritius),-16.743,63.397,3,2005,1-3 m,HIGH,100%,41
Africa,Southwest Indian Ocean,Mauritius,Trou d'Eau Douce Fir,-20.24833333,57.795,4,1998,,Low,25%,42
Africa,Southwest Indian Ocean,Réunion,"PlanchAlize, La Saline-les-Bains reef",-21.08,55.233,2,2001,0.4-1.0m,Medium,40%,43
Africa,Southwest Indian Ocean,Réunion,Saint Leu,-21.158,55.289,3,2001,0.4-1.0m,Low,5%,44
Africa,Southwest Indian Ocean,Réunion,"Trou d'Eau, La Saline-les-Bains",-21.0867,55.2407,2,2001,0.4-1.0m,HIGH,50%,45
Africa,Southwest Indian Ocean,Seychelles,Aldabra,-9.416666667,46.41666667,5,1998,23,HIGH,70%,46
Africa,Southwest Indian Ocean,Seychelles,Cousine Island,-4.35,55.65,2,1998,4-10m,HIGH,50%,47
Africa,Southwest Indian Ocean,Seychelles,North West Coast St. Pierre,-9.31,50.71,2,1998,3-30m,HIGH,50%,48
Africa,Southwest Indian Ocean,Seychelles,Outer Slope West - Alphonse Atoll,-7.01,52.73,2,1998,2-25m,HIGH,50%,49
Africa,Southwest Indian Ocean,Seychelles,Providence,-9.383333333,51.05,,1998,23,HIGH,70%,50
Africa,Southwest Indian Ocean,Seychelles,South East Coast St. Pierre,-9.33,50.73,2,1998,8-25m,HIGH,50%,51
Americas,Eastern Caribbean,Netherlands Antilles,,5.542,125.221,,1998,,HIGH,60%,52
Americas,Eastern Caribbean,Netherlands Antilles,BNK01: Saba Bank 1,17.463,-63.22267,12,1999,20.1,Low,7%,53
Americas,Eastern Caribbean,Netherlands Antilles,BNK02: Saba Bank 2,17.48683,-63.23167,12,1999,15,Low,16%,54
Americas,Eastern Caribbean,Netherlands Antilles,BNK03: Saba Bank 3,17.48783,-63.23233,12,1999,17.5,Low,9%,55
Americas,Eastern Caribbean,Netherlands Antilles,EUX01: Barracuda Reef,17.468,-62.99166,12,1999,17.4,Low,17%,56
Americas,Eastern Caribbean,Netherlands Antilles,EUX02: Anchor Point,17.46433,-62.98783,12,1999,14.4,Low,13%,57
Americas,Eastern Caribbean,Netherlands Antilles,EUX03: Hangover,17.46483,-62.986,12,1999,14.2,Low,26%,58
Americas,Eastern Caribbean,Netherlands Antilles,EUX04: The Blocks,17.46433,-62.985,12,1999,15.2,Low,33%,59
Americas,Eastern Caribbean,Netherlands Antilles,EUX05: The Ledges,17.46333,-62.98466,12,1999,13.7,Low,20%,60
Americas,Eastern Caribbean,Netherlands Antilles,EUX06: Five Fingers,17.46483,-62.96667,12,1999,14.9,Low,26%,61
Americas,Eastern Caribbean,Netherlands Antilles,EUX07: Valley of the Sponges,17.464,-62.9825,12,1999,14,Low,30%,62
Americas,Eastern Caribbean,Netherlands Antilles,EUX08: The Humps,17.4635,-62.97817,12,1999,11.5,Low,22%,63
Americas,Eastern Caribbean,Netherlands Antilles,EUX09: Mushroom Gardens,17.4625,-62.97766,12,1999,16.2,Low,29%,64
Americas,Eastern Caribbean,Netherlands Antilles,EUX10: Mushroom Gardens South,17.46167,-62.97766,12,1999,16.2,Medium,34%,65
Americas,Eastern Caribbean,Netherlands Antilles,SAB01: Core Gut,17.63083,-63.215,12,1999,9.5,Low,27%,66
Americas,Eastern Caribbean,Netherlands Antilles,SAB02: Hole in the Corner,17.615,-63.225,12,1999,10.7,Low,32%,67
Americas,Eastern Caribbean,Netherlands Antilles,SAB03: Tent Reef,17.61633,-63.2585,12,1999,9.4,Low,20%,68
Americas,Eastern Caribbean,Netherlands Antilles,SAB04: Hot Springs,17.62483,-63.2595,12,1999,11.2,Low,28%,69
Americas,Eastern Caribbean,Netherlands Antilles,SAB05: Ladder Labyrinth,17.62667,-63.25967,12,1999,12.1,Low,22%,70
Americas,Eastern Caribbean,Netherlands Antilles,SAB06: Babylon,17.62817,-63.2595,12,1999,13.1,Low,28%,71
Americas,Eastern Caribbean,Netherlands Antilles,SAB07: Porites Point,17.62933,-63.25883,12,1999,14.5,Low,26%,72
Americas,Eastern Caribbean,Netherlands Antilles,SAB08: Torrens Point,17.64333,-63.25317,12,1999,5.6,Low,21%,73
Americas,Eastern Caribbean,Netherlands Antilles,SAB09: Green Island,17.64967,-63.228,12,1999,6.9,Low,2%,74
Americas,Eastern Caribbean,Netherlands Antilles,SXM01: Mike's Maze,17.99567,-63.06,11,1999,9.1,Medium,45%,75
Americas,Eastern Caribbean,Netherlands Antilles,SXM02: Hens & Chicks,18.01067,-63.008,12,1999,10.6,Medium,44%,76
Americas,Eastern Caribbean,Trinidad and Tobago,Caribbean coast of Tobago,11.18,-60.877,10,2005,,HIGH,80%,77
Americas,Eastern Caribbean,Virgin Islands (British),Ginger Island (Alice in Wonderland – Dive Site),18.3833,-64.4833,9,2005,55-80ft,HIGH,90%,78
Americas,Eastern Caribbean,Virgin Islands (British),"Hans Creek, Beef Island",18.433,-64.5167,9,2005,10-25ft,HIGH,97%,79
Americas,Eastern Caribbean,Virgin Islands (British),Peter Island (Great Harbour West- Dive Site),18.35,-64.5833,9,2005,"	45-50ft.",HIGH,90%,80
Americas,Eastern Caribbean,Virgin Islands (British),The British Virgin Islands,18.4526,-64.6259,10,2005,Down to 30 m,HIGH,90%,81
Americas,Mesoamerica,Belize,7 Cut The Trench Deep (WP15),16.72263,-88.07225,7,2000,12.8,Low,4%,82
Americas,Mesoamerica,Belize,Ambergris Caye,18.027,-87.87,10,2003,,HIGH,70%,83
Americas,Mesoamerica,Belize,Bread & Butter,16.77,-88.16,5,1999,6.6,Low,18%,84
Americas,Mesoamerica,Belize,Caye Chapel Deep (BZ-3),17.67313,-88.01195,7,2000,15.7,Low,2%,85
Americas,Mesoamerica,Belize,Curlew,16.78,-88.08,5,1999,3.7,Low,7%,86
Americas,Mesoamerica,Belize,Eagle Ray Canyon,17.92,-87.95,5,1999,13.4,Low,22%,87
Americas,Mesoamerica,Belize,Goffs Caye Deep (BZ-1),17.35215,-88.02856,7,2000,9.3,Low,2%,88
Americas,Mesoamerica,Belize,HOL Chan Marine Reserve,17.89,-87.96,5,1999,5.1,Low,8%,89
Americas,Mesoamerica,Belize,Mexico Rocks,17.94,-87.94,5,1999,8.9,Low,2%,90
Americas,Mesoamerica,Belize,Middle Caye Deep - E. Glovers,16.7365,-87.8102,7,2000,8.8,Low,2%,91
Americas,Mesoamerica,Belize,N.E. Glovers Deep (WP17),16.91567,-87.69683,7,2000,11.7,Low,5%,92
Americas,Mesoamerica,Belize,Norval,16.71,-88.17,5,1999,6.5,Medium,39%,93
Americas,Mesoamerica,Belize,Peter Douglas,16.71,-88.17,5,1999,8.3,Low,5%,94
Americas,Mesoamerica,Belize,S.W. Glover Deep (WP20),16.7269,-87.88712,7,2000,5,Low,2%,95
Americas,Mesoamerica,Belize,Samphire Rocks Deep (BZ-2),17.27598,-88.04333,7,2000,10.3,Low,4%,96
Americas,Mesoamerica,Belize,San Pedro Canyon,17.92,-87.94,5,1999,13.2,Low,7%,97
Americas,Mesoamerica,Belize,Silk cayes,16,-88,9,2008,5 m,Medium,30%,98
Americas,Mesoamerica,Belize,South Water Caye,16.81,-88.06,5,1999,5.7,Low,14%,99
Americas,Mesoamerica,Belize,South Water Caye Deep (WP16),16.813,-88.078,7,2000,13.5,Low,11%,100
Americas,Mesoamerica,Belize,Tobacco,17.92,-87.94,5,1999,5.7,Low,13%,101
Americas,Mesoamerica,Belize,Tunicate Cove,16.66,-88.19,5,1999,6.9,Low,4%,102
Americas,Mesoamerica,Belize,W. Glovers Deep (WP22),16.74133,-87.88405,7,2000,5.9,Low,5%,103
Americas,Mesoamerica,Belize,Wee Wee Caye Patch,16.76,-88.14,5,1999,4.5,Low,23%,104
Americas,Mesoamerica,Belize,Wee Wee Caye Ridge,16.76,-88.14,5,1999,2.8,Low,6%,105
Americas,Mesoamerica,Mexico,"Between Puerto Morelos and Cancun (NE Yucatán, México)",20.833,-86.868,9,2003,1m-4m,Medium,35%,106
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.724,-87.69676,5,2005,7.75m,Low,12%,107
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.70703,-87.70684,5,2005,5.1m,Medium,33%,108
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.63451,-87.72215,6,2005,4.9m,No Bleaching,0%,109
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.65961,-87.71934,6,2005,3.85m,No Bleaching,0%,110
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.65963,-87.71564,6,2005,21.2m,Low,30%,111
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68681,-87.70937,6,2005,18.25m,No Bleaching,0%,112
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68681,-87.70937,6,2005,14.5m,Low,6%,113
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68717,-87.71223,6,2005,4.9m,No Bleaching,0%,114
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68717,-87.71223,6,2005,5.8m,No Bleaching,0%,115
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68681,-87.70937,6,2005,18.6m,No Bleaching,0%,116
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.74183,-87.6744,6,2005,21m,No Bleaching,0%,117
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.70659,-87.70395,6,2005,14m,Low,24%,118
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68717,-87.71223,6,2005,6.4m,Low,30%,119
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.70686,-87.70576,7,2005,10.05m,Low,19%,120
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.70686,-87.70576,7,2005,9m,Low,24%,121
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.65949,-87.71653,5,2006,11.2m,Low,23%,122
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68731,-87.71051,5,2006,11.25m,Medium,42%,123
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.65949,-87.71653,5,2006,12.05m,Low,31%,124
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.65949,-87.71653,5,2006,11.25m,Low,22%,125
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68717,-87.71223,5,2006,6.55m,Low,8%,126
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68717,-87.71223,5,2006,7.45m,Low,22%,127
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.65963,-87.71564,5,2006,18.75m,Medium,50%,128
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.71992,-87.70112,5,2006,5.3m,Low,31%,129
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.71956,-87.69773,5,2006,15.6m,Low,10%,130
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68681,-87.70937,5,2006,15.65m,Low,11%,131
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.65963,-87.71564,5,2006,17m,Low,4%,132
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.71956,-87.69773,6,2006,15.5m,Low,23%,133
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.71992,-87.70112,6,2006,6.6m,Low,20%,134
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.71956,-87.69945,5,2006,8.95m,Low,11%,135
Americas,Mesoamerica,Mexico,"Bucaneros, Mahahual",18.68731,-87.71051,5,2006,10m,Low,12%,136
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.68092,-87.71259,5,2005,9.9m,Low,27%,137
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70703,-87.70684,5,2005,5.65m,Low,17%,138
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70686,-87.70576,5,2005,9.1m,Low,19%,139
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.72411,-87.69834,5,2005,5.5m,Low,31%,140
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.68084,-87.71415,8,2005,6.25m,No Bleaching,0%,141
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.68064,-87.71131,8,2005,14.45m,Low,10%,142
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.71956,-87.69773,8,2005,16.05m,Medium,53%,143
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.63451,-87.72215,8,2005,4.75m,Medium,33%,144
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.724,-87.69676,8,2005,8m,Low,5%,145
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70659,-87.70395,8,2005,16.2m,Low,29%,146
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.71956,-87.69945,7,2005,10.05m,Low,31.82%,147
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.71992,-87.70112,7,2005,4.7m,Low,30%,148
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.72411,-87.69834,5,2005,5.3m,Low,10%,149
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70659,-87.70395,5,2005,14.3m,HIGH,73.91%,150
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70659,-87.70395,5,2005,13.75m,Medium,42.11%,151
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.66717,-87.71423,5,2005,14.15m,Medium,33.33%,152
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.68084,-87.71415,5,2005,6.55m,No Bleaching,0%,153
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70686,-87.70576,5,2005,12.5m,Medium,64%,154
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.66717,-87.71423,5,2005,13.55m,Low,5%,155
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.68064,-87.71131,3,2006,16.1m,Medium,64%,156
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.71956,-87.69945,12,2005,8.55m,Medium,44.12%,157
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70659,-87.70395,12,2005,14.95m,Medium,45.45%,158
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.68092,-87.71259,2,2006,10m,Medium,58.06%,159
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70686,-87.70576,2,2006,9.2m,Medium,57.89%,160
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70659,-87.70395,2,2006,15.6m,Medium,44.83%,161
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70659,-87.70395,3,2006,15.8m,HIGH,71.43%,162
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.72411,-87.69834,3,2006,4.85m,Medium,33.33%,163
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.72411,-87.69834,3,2006,5.65m,Low,25%,164
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.63473,-87.71884,3,2006,17.6m,HIGH,68.42%,165
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.63473,-87.71884,3,2006,18.2m,Low,31.25%,166
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.66717,-87.71423,3,2006,15.45m,HIGH,77.27%,167
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.71956,-87.69945,8,2005,9.8m,Low,29.17%,168
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.70659,-87.70395,8,2005,15.85m,Medium,42.42%,169
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.724,-87.69676,11,2005,8.3m,HIGH,75%,170
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.724,-87.69676,11,2005,8.4m,HIGH,74.07%,171
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.66723,-87.71551,11,2005,10.1m,Medium,35.48%,172
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.66723,-87.71551,11,2005,10.55m,Medium,33.33%,173
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.72411,-87.69834,11,2005,4.65m,Low,5.56%,174
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.72411,-87.69834,11,2005,4.65m,Low,25%,175
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.66723,-87.71551,11,2005,10.4m,HIGH,88.46%,176
Americas,Mesoamerica,Mexico,"Dolphin Bay *, Mahahual",18.66723,-87.71551,11,2005,10.35m,HIGH,75%,177
Americas,Mesoamerica,Mexico,"Faro Viejo, Mahahual",18.71992,-87.70112,6,2006,6.15m,Medium,63.64%,178
Americas,Mesoamerica,Mexico,"Faro Viejo, Mahahual",18.74206,-87.67701,6,2006,11m,Low,6.25%,179
Americas,Mesoamerica,Mexico,"Faro Viejo, Mahahual",18.74206,-87.67701,6,2006,10.7m,Low,25%,180
Americas,Mesoamerica,Mexico,"Faro Viejo, Mahahual",18.68717,-87.71223,6,2005,6.85m,Medium,33.33%,181
Americas,Mesoamerica,Mexico,"Faro Viejo, Mahahual",18.68084,-87.71415,5,2005,6.4m,No Bleaching,0%,182
Americas,Mesoamerica,Mexico,"Faro Viejo, Mahahual",18.68084,-87.71415,5,2005,5.8m,Low,28.57%,183
Americas,Mesoamerica,Mexico,"Faro Viejo, Mahahual",18.71956,-87.69945,5,2005,9.1m,Low,28%,184
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",20.05138,-87.46275,10,2004,6.85m,Low,25%,185
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",19.78637,-87.42628,10,2004,19.8m,Medium,52.38%,186
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",19.78637,-87.42628,10,2004,0m,Medium,45.45%,187
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",19.93333,-87.43213,10,2004,15.2m,Medium,52.38%,188
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",19.93333,-87.43213,10,2004,18.3m,HIGH,72.73%,189
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",19.88328,-87.42607,2,2005,6.45m,Low,8.33%,190
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",19.88328,-87.42607,2,2005,6.7m,No Bleaching,0%,191
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",20.0169,-87.46215,3,2005,8.35m,No Bleaching,0%,192
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",20.05138,-87.46275,11,2004,12.8m,Low,18.75%,193
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",20.05138,-87.46275,11,2004,20.4m,Low,25%,194
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",20.01498,-87.46475,2,2005,4.85m,No Bleaching,0%,195
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",20.01498,-87.46475,2,2005,5.65m,No Bleaching,0%,196
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",20.052,-87.46625,5,2005,7.6m,Medium,50%,197
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",20.052,-87.46625,5,2005,7.6m,Medium,53.85%,198
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",20.01498,-87.46475,5,2005,6.4m,Low,28.57%,199
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",20.05045,-87.47035,5,2005,3.05m,Low,16.67%,200
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",19.78693,-87.4331,6,2005,11.75m,Low,20%,201
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",19.78637,-87.42628,6,2005,18.3m,Medium,38.46%,202
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",19.78637,-87.42628,6,2005,17.4m,No Bleaching,0%,203
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",19.78637,-87.42628,6,2005,16.8m,Low,31.58%,204
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",20.03995,-87.46965,6,2005,3.2m,Medium,33.33%,205
Americas,Mesoamerica,Mexico,"La Colonia, Pez Maya, Reserva de la Biosfera de Sian Ka'an",19.93333,-87.43213,6,2005,18.3m,Low,22.22%,206
Americas,Mesoamerica,Mexico,"Las Llamaradas, Mahahual",18.72411,-87.69834,5,2005,4.95m,Low,18.75%,207
Americas,Mesoamerica,Mexico,"Las Llamaradas, Mahahual",18.70686,-87.70576,5,2005,9.75m,Medium,36.36%,208
Americas,Mesoamerica,Mexico,"Las Llamaradas, Mahahual",18.65949,-87.71653,5,2005,10.05m,Low,5.88%,209
Americas,Mesoamerica,Mexico,"Las Llamaradas, Mahahual",18.66717,-87.71423,5,2005,16.05m,Low,9.30%,210
Americas,Mesoamerica,Mexico,"Las Llamaradas, Mahahual",18.68084,-87.71415,5,2005,5.8m,No Bleaching,0%,211
Americas,Mesoamerica,Mexico,"Las Llamaradas, Mahahual",18.68717,-87.71223,6,2005,7.3m,Medium,57.14%,212
Americas,Mesoamerica,Mexico,"Las Llamaradas, Mahahual",18.66717,-87.71423,8,2005,13.85m,Low,31.82%,213
Americas,Mesoamerica,Mexico,"Las Llamaradas, Mahahual",18.72411,-87.69834,8,2005,4.6m,Low,9.09%,214
Americas,Mesoamerica,Mexico,"Las Llamaradas, Mahahual",18.724,-87.69676,7,2005,10.15m,Low,5.88%,215
Americas,Mesoamerica,Mexico,"Las Llamaradas, Mahahual",18.724,-87.69676,7,2005,10.1m,Low,10%,216
